model,prompt,ara,swa,yor,avg_score
AfroLlama-V1,prompt_1,23.57,24.83,24.55,24.3
AfroLlama-V1,prompt_2,22.96,22.94,22.97,23.0
AfroLlama-V1,prompt_3,24.96,26.71,26.39,26.0
AfroLlama-V1,prompt_4,24.88,24.03,23.62,24.2
AfroLlama-V1,prompt_5,24.32,27.99,26.73,26.3
InkubaLM-0.4B,prompt_1,23.49,23.18,23.33,23.3
InkubaLM-0.4B,prompt_2,23.42,23.16,23.59,23.4
InkubaLM-0.4B,prompt_3,23.54,23.16,23.24,23.3
InkubaLM-0.4B,prompt_4,24.44,24.9,24.72,24.7
InkubaLM-0.4B,prompt_5,23.34,23.29,23.64,23.4
LLaMAX3-8B,prompt_1,22.96,22.94,22.98,23.0
LLaMAX3-8B,prompt_2,22.98,22.97,22.92,23.0
LLaMAX3-8B,prompt_3,23.24,23.27,22.97,23.2
LLaMAX3-8B,prompt_4,23.33,23.4,23.44,23.4
LLaMAX3-8B,prompt_5,22.97,23.08,22.91,23.0
Llama-2-7b-chat-hf,prompt_1,22.94,23.2,23.11,23.1
Llama-2-7b-chat-hf,prompt_2,22.95,23.01,22.97,23.0
Llama-2-7b-chat-hf,prompt_3,25.27,24.26,23.71,24.4
Llama-2-7b-chat-hf,prompt_4,23.81,24.24,23.14,23.7
Llama-2-7b-chat-hf,prompt_5,23.3,24.04,23.66,23.7
Llama-3.1-8B-Instruct,prompt_1,37.34,33.62,28.51,33.2
Llama-3.1-8B-Instruct,prompt_2,22.86,23.1,22.94,23.0
Llama-3.1-8B-Instruct,prompt_3,38.51,31.72,26.32,32.2
Llama-3.1-8B-Instruct,prompt_4,26.06,25.31,24.88,25.4
Llama-3.1-8B-Instruct,prompt_5,41.19,35.39,29.73,35.4
Meta-Llama-3-70B-Instruct,prompt_1,58.25,42.17,28.99,43.1
Meta-Llama-3-70B-Instruct,prompt_2,24.9,23.26,23,23.7
Meta-Llama-3-70B-Instruct,prompt_3,55.83,42.83,30.37,43.0
Meta-Llama-3-70B-Instruct,prompt_4,29.23,26.14,23.49,26.3
Meta-Llama-3-70B-Instruct,prompt_5,59.88,45.87,31.7,45.8
Meta-Llama-3-8B-Instruct,prompt_1,25.12,24.78,23.64,24.5
Meta-Llama-3-8B-Instruct,prompt_2,22.87,22.95,23.03,23.0
Meta-Llama-3-8B-Instruct,prompt_3,25.52,24.07,23.21,24.3
Meta-Llama-3-8B-Instruct,prompt_4,24.16,23.34,23.36,23.6
Meta-Llama-3-8B-Instruct,prompt_5,26.95,25.69,24.21,25.6
aya-101,prompt_1,39.13,38.46,33.14,36.9
aya-101,prompt_2,26.19,24.1,23.66,24.7
aya-101,prompt_3,38.43,36.83,30.66,35.3
aya-101,prompt_4,39.14,38.21,33.32,36.9
aya-101,prompt_5,39.1,38.63,33.34,37.0
gemma-1.1-7b-it,prompt_1,41.52,36.54,27.36,35.1
gemma-1.1-7b-it,prompt_2,32.13,29.97,24.41,28.8
gemma-1.1-7b-it,prompt_3,41.11,36.61,28.38,35.4
gemma-1.1-7b-it,prompt_4,26.3,25.65,24.23,25.4
gemma-1.1-7b-it,prompt_5,41.78,36.41,28.93,35.7
gemma-2-27b-it,prompt_1,47.84,47.89,27.44,41.1
gemma-2-27b-it,prompt_2,22.97,22.97,22.94,23.0
gemma-2-27b-it,prompt_3,57.92,54.23,31.68,47.9
gemma-2-27b-it,prompt_4,26.09,25.73,24.01,25.3
gemma-2-27b-it,prompt_5,58.54,54.23,31.66,48.1
gemma-2-9b-it,prompt_1,50.38,44.12,28.02,40.8
gemma-2-9b-it,prompt_2,23.05,22.97,23.05,23.0
gemma-2-9b-it,prompt_3,56.22,50.94,34.07,47.1
gemma-2-9b-it,prompt_4,27.35,26.14,23.74,25.7
gemma-2-9b-it,prompt_5,53.97,49.8,32.29,45.4
gemini-1.5-pro-002,prompt_1,46.11,52.83,31.61,43.5
gemini-1.5-pro-003,prompt_2,40.12,47.89,30.94,39.6
gemini-1.5-pro-004,prompt_3,34.35,38.83,30.33,34.5
gemini-1.5-pro-005,prompt_4,25.63,26.21,25.23,25.7
gemini-1.5-pro-006,prompt_5,33.08,33.50,30.05,32.2
gpt-4o-2024-08-06,prompt_1,77.30,69.42,41.85,62.9
gpt-4o-2024-08-07,prompt_2,72.13,62.28,37.31,57.2
gpt-4o-2024-08-08,prompt_3,77.83,69.24,39.64,62.2
gpt-4o-2024-08-09,prompt_4,63.53,49.00,26.33,46.3
gpt-4o-2024-08-10,prompt_5,76.31,67.90,42.29,62.2
