model,prompt,bem,fon,hau,ibo,kin,twi,yor,zul,avg_score
AfroLlama-V1,prompt_1,10.89,8.12,33.07,10.25,11.98,8.23,27.77,27.53,17.2
AfroLlama-V1,prompt_2,13.15,7.26,31.22,8.08,12.42,8.54,28.54,25.29,16.8
AfroLlama-V1,prompt_3,12.7,8.18,36.83,12.02,13.76,9.11,28.87,28.07,18.7
AfroLlama-V1,prompt_4,14.35,10.64,39.53,12.04,16.29,10.09,37.37,33.26,21.7
AfroLlama-V1,prompt_5,15.39,8.73,38.93,11.43,17.39,9.24,37.72,35.63,21.8
InkubaLM-0.4B,prompt_1,1.77,1.81,1.24,1.06,2.73,1.26,1.27,2.29,1.7
InkubaLM-0.4B,prompt_2,0.98,2.07,1.46,0.97,3.16,1.33,1.91,1.79,1.7
InkubaLM-0.4B,prompt_3,1.23,1.41,0.89,0.67,1.92,1.17,1.13,1.6,1.3
InkubaLM-0.4B,prompt_4,1.72,1.45,1.08,0.97,2.97,1.37,1.09,1.54,1.5
InkubaLM-0.4B,prompt_5,1.25,1.48,1.34,1.37,1.84,1.11,1.08,1.86,1.4
LLaMAX3-8B,prompt_1,1.23,3.64,1.67,2.27,2.56,1.26,1.57,1.55,2.0
LLaMAX3-8B,prompt_2,1.34,3.54,1.53,2.34,2.42,0.96,1.48,1.68,1.9
LLaMAX3-8B,prompt_3,1.12,2.4,1.66,2.32,2.56,1.1,1.53,1.9,1.8
LLaMAX3-8B,prompt_4,1.42,4.59,1.69,2.3,2.38,1.52,1.44,1.86,2.2
LLaMAX3-8B,prompt_5,1.12,4.06,1.68,2.27,2.58,1.26,1.47,1.84,2.0
Llama-2-7b-chat-hf,prompt_1,7.03,10.83,7.1,13,10.52,8.06,7.24,8.28,9.0
Llama-2-7b-chat-hf,prompt_2,6.83,6.83,7.51,9.24,7.41,6.19,4.88,7.45,7.0
Llama-2-7b-chat-hf,prompt_3,8.68,10.63,6.3,10.69,13.72,6.79,7.22,6.71,8.8
Llama-2-7b-chat-hf,prompt_4,13.5,15.85,10.77,16.55,17.39,11.33,9.96,12.71,13.5
Llama-2-7b-chat-hf,prompt_5,14.49,14.1,10.77,18.29,16.59,11.7,12.45,11.23,13.7
Llama-3.1-8B-Instruct,prompt_1,13.72,8.82,22.93,32.74,26.98,7.29,14.05,11.91,17.3
Llama-3.1-8B-Instruct,prompt_2,11.03,9.02,30.22,26.99,20.53,7.29,20.99,11.73,17.2
Llama-3.1-8B-Instruct,prompt_3,10.14,6.48,3.48,4.47,13.51,2.63,6.15,3.43,6.3
Llama-3.1-8B-Instruct,prompt_4,7.87,6.39,6.76,13.05,13.36,2,10.08,5.13,8.1
Llama-3.1-8B-Instruct,prompt_5,15.45,14.83,24.58,41.71,31.16,8.93,19.81,17.55,21.8
Meta-Llama-3-8B-Instruct,prompt_1,7.97,8.86,8.35,20.9,11.56,6.51,7.22,5.49,9.6
Meta-Llama-3-8B-Instruct,prompt_2,3.71,6.03,7.05,9.71,9.9,3.26,6.09,5.16,6.4
Meta-Llama-3-8B-Instruct,prompt_3,5.03,9.76,5.14,17.03,7.84,3.94,5.15,5.94,7.5
Meta-Llama-3-8B-Instruct,prompt_4,8.93,11.61,9.03,25.87,13.09,7.01,9.01,9.52,11.8
Meta-Llama-3-8B-Instruct,prompt_5,8.18,14.92,12.17,22.77,14.81,8.79,9.6,9.85,12.6
aya-101,prompt_1,43.14,30.64,73.76,84.97,68.65,42.67,68.79,79.52,61.5
aya-101,prompt_2,45.24,29.21,78.24,84.39,70.68,42.69,69.64,80.14,62.5
aya-101,prompt_3,44.19,28.94,76.27,84.73,68.97,41.6,70.03,80.01,61.8
aya-101,prompt_4,45.73,30.09,75.05,85.19,69.6,41.84,68.52,79.81,62.0
aya-101,prompt_5,42.94,28.99,74.16,84.75,68.89,42.46,69.37,79.79,61.4
gemma-1.1-7b-it,prompt_1,13.85,18.06,9.34,23.4,17.56,12.13,8.86,16.5,15.0
gemma-1.1-7b-it,prompt_2,13.55,17.41,22.11,24.62,19.23,10.98,10.63,20.46,17.4
gemma-1.1-7b-it,prompt_3,7.44,16.48,3.98,11.07,10.64,7.51,5.49,9.99,9.1
gemma-1.1-7b-it,prompt_4,13.86,19.68,9.21,29.09,20.29,12.61,8.26,19.62,16.6
gemma-1.1-7b-it,prompt_5,10,18.35,6.53,21.66,16.64,9.88,8.84,15.03,13.4
gemma-2-27b-it,prompt_1,35.4,28.7,52.67,74.98,62.43,31.43,48.03,62.95,49.6
gemma-2-27b-it,prompt_2,29.4,28.15,57.85,75.59,64.81,34.14,51.19,62.98,50.5
gemma-2-27b-it,prompt_3,28.63,23.72,43.8,69.91,47.1,26.37,47.31,52.46,42.4
gemma-2-27b-it,prompt_4,37.36,31.73,53.21,75.98,61.6,32.81,47.37,63.23,50.4
gemma-2-27b-it,prompt_5,32.5,28.01,47.57,70.61,55.57,27.95,43.93,59.21,45.7
gemma-2-9b-it,prompt_1,28.42,24.13,45.74,68.46,54.42,29.32,39.15,51.78,42.7
gemma-2-9b-it,prompt_2,24.05,21.2,52.17,65.97,62.64,34.65,46.31,60.56,45.9
gemma-2-9b-it,prompt_3,8.58,12.81,33.67,43.61,35.19,17.95,31.01,36.42,27.4
gemma-2-9b-it,prompt_4,27.95,24.97,47.34,65.86,55.16,29.78,39.64,51.36,42.8
gemma-2-9b-it,prompt_5,21.89,21.12,39.58,60.1,50.69,26.58,36.16,45.69,37.7
Llama-3.1-70B-Instruct,prompt_1,25.33,24.31,40.15,66.27,42.5,24.38,31.45,39.84,36.8
Llama-3.1-70B-Instruct,prompt_2,29.76,25.96,57.7,70.07,48.05,27.15,42.11,51.16,44.0
Llama-3.1-70B-Instruct,prompt_3,21.16,20.02,39.52,63.95,38.49,20.2,28.03,30.84,32.8
Llama-3.1-70B-Instruct,prompt_4,25.01,23.47,36.98,64.49,43.86,25.23,32.05,41.1,36.5
Llama-3.1-70B-Instruct,prompt_5,23.53,23.87,38.46,65.41,43.88,20.89,29.98,38,35.5
gemini-1.5-pro-002,prompt_1,31.17,19.95,41.67,56.23,43.48,42.71,29.63,34.39,37.4
gemini-1.5-pro-003,prompt_2,35.06,20.47,47.00,61.12,47.54,45.08,29.01,38.34,40.5
gemini-1.5-pro-004,prompt_3,33.77,16.58,46.00,62.10,35.36,46.78,27.57,42.29,38.8
gemini-1.5-pro-005,prompt_4,24.35,13.21,30.67,41.08,38.55,31.19,22.84,28.06,28.7
gemini-1.5-pro-006,prompt_5,25.32,15.29,30.00,39.36,34.20,31.19,25.72,26.88,28.5
gpt-4o-2024-08-06,prompt_1,31.49,6.48,44.67,61.86,51.30,48.81,33.74,41.90,40.0
gpt-4o-2024-08-07,prompt_2,35.71,12.69,50.00,61.61,50.43,52.54,37.04,47.43,43.4
gpt-4o-2024-08-08,prompt_3,9.42,4.92,17.33,24.21,9.57,7.12,20.58,22.92,14.5
gpt-4o-2024-08-09,prompt_4,29.87,6.48,42.33,60.39,47.83,48.47,33.54,41.11,38.8
gpt-4o-2024-08-10,prompt_5,14.29,2.07,18.33,30.07,33.62,22.37,20.78,27.27,21.1
