model,prompt,hau,ibo,yor,avg_score
AfroLlama-V1,prompt_1,17.07,27.38,31.41,25.3
AfroLlama-V1,prompt_2,17.07,26.19,31.94,25.1
AfroLlama-V1,prompt_3,23.17,27.38,26.18,25.6
AfroLlama-V1,prompt_4,19.51,26.19,32.98,26.2
AfroLlama-V1,prompt_5,19.51,26.19,32.46,26.1
InkubaLM-0.4B,prompt_1,10.98,26.19,29.84,22.3
InkubaLM-0.4B,prompt_2,12.2,34.52,31.94,26.2
InkubaLM-0.4B,prompt_3,12.2,27.38,29.84,23.1
InkubaLM-0.4B,prompt_4,19.51,25,27.23,23.9
InkubaLM-0.4B,prompt_5,18.29,26.19,30.37,25.0
LLaMAX3-8B,prompt_1,17.07,26.19,30.37,24.5
LLaMAX3-8B,prompt_2,15.85,26.19,30.89,24.3
LLaMAX3-8B,prompt_3,18.29,29.76,30.37,26.1
LLaMAX3-8B,prompt_4,17.07,27.38,30.37,24.9
LLaMAX3-8B,prompt_5,31.71,32.14,31.94,31.9
Llama-2-7b-chat-hf,prompt_1,15.85,26.19,30.37,24.1
Llama-2-7b-chat-hf,prompt_2,17.07,26.19,31.41,24.9
Llama-2-7b-chat-hf,prompt_3,19.51,27.38,28.8,25.2
Llama-2-7b-chat-hf,prompt_4,20.73,32.14,30.89,27.9
Llama-2-7b-chat-hf,prompt_5,20.73,28.57,28.8,26.0
Llama-3.1-8B-Instruct,prompt_1,56.1,42.86,36.65,45.2
Llama-3.1-8B-Instruct,prompt_2,17.07,26.19,32.46,25.2
Llama-3.1-8B-Instruct,prompt_3,54.88,42.86,36.65,44.8
Llama-3.1-8B-Instruct,prompt_4,52.44,46.43,39.27,46.0
Llama-3.1-8B-Instruct,prompt_5,60.98,45.24,38.22,48.1
Meta-Llama-3-70B-Instruct,prompt_1,53.66,47.62,31.41,44.2
Meta-Llama-3-70B-Instruct,prompt_2,31.71,40.48,32.46,34.9
Meta-Llama-3-70B-Instruct,prompt_3,65.85,54.76,37.17,52.6
Meta-Llama-3-70B-Instruct,prompt_4,59.76,51.19,35.08,48.7
Meta-Llama-3-70B-Instruct,prompt_5,64.63,52.38,41.88,53.0
Meta-Llama-3-8B-Instruct,prompt_1,26.83,39.29,29.84,32.0
Meta-Llama-3-8B-Instruct,prompt_2,15.85,26.19,32.98,25.0
Meta-Llama-3-8B-Instruct,prompt_3,21.95,33.33,30.37,28.6
Meta-Llama-3-8B-Instruct,prompt_4,26.83,34.52,30.37,30.6
Meta-Llama-3-8B-Instruct,prompt_5,26.83,35.71,29.84,30.8
aya-101,prompt_1,68.29,66.67,50.79,61.9
aya-101,prompt_2,21.95,27.38,28.27,25.9
aya-101,prompt_3,65.85,71.43,47.12,61.5
aya-101,prompt_4,70.73,71.43,49.21,63.8
aya-101,prompt_5,69.51,67.86,48.69,62.0
gemma-1.1-7b-it,prompt_1,52.44,38.1,28.8,39.8
gemma-1.1-7b-it,prompt_2,29.27,32.14,31.94,31.1
gemma-1.1-7b-it,prompt_3,48.78,41.67,33.51,41.3
gemma-1.1-7b-it,prompt_4,53.66,35.71,31.41,40.3
gemma-1.1-7b-it,prompt_5,47.56,40.48,30.89,39.6
gemma-2-27b-it,prompt_1,51.22,50,38.74,46.7
gemma-2-27b-it,prompt_2,17.07,26.19,30.37,24.5
gemma-2-27b-it,prompt_3,68.29,53.57,43.98,55.3
gemma-2-27b-it,prompt_4,63.41,51.19,44.5,53.0
gemma-2-27b-it,prompt_5,67.07,53.57,48.17,56.3
gemma-2-9b-it,prompt_1,58.54,48.81,35.6,47.7
gemma-2-9b-it,prompt_2,18.29,26.19,30.37,25.0
gemma-2-9b-it,prompt_3,69.51,51.19,42.93,54.5
gemma-2-9b-it,prompt_4,71.95,55.95,38.74,55.5
gemma-2-9b-it,prompt_5,65.85,54.76,40.31,53.6
gemini-1.5-pro-002,prompt_1,50.00,52.38,46.07,49.5
gemini-1.5-pro-003,prompt_2,54.88,53.57,42.93,50.5
gemini-1.5-pro-004,prompt_3,53.66,59.52,45.55,52.9
gemini-1.5-pro-005,prompt_4,53.66,52.38,48.17,51.4
gemini-1.5-pro-006,prompt_5,46.34,51.19,48.17,48.6
gpt-4o-2024-08-06,prompt_1,74.39,69.05,66.49,70.0
gpt-4o-2024-08-07,prompt_2,80.49,73.81,66.49,73.6
gpt-4o-2024-08-08,prompt_3,80.49,73.81,66.49,73.6
gpt-4o-2024-08-09,prompt_4,78.05,72.62,62.83,71.2
gpt-4o-2024-08-10,prompt_5,78.05,75.00,64.40,72.5
