model,prompt,eng,hau,ibo,pcm,yor,avg_score
AfroLlama-V1,prompt_1,50.0,50.0,50.0,50.0,50.0,50.0
AfroLlama-V1,prompt_2,50.0,50.0,50.0,50.0,50.0,50.0
AfroLlama-V1,prompt_3,52.4,51.2,50.2,50.8,58.4,52.7
AfroLlama-V1,prompt_4,50.0,50.2,50.0,50.0,50.2,50.1
AfroLlama-V1,prompt_5,73.2,83.2,56.6,82.6,78.2,75.2
InkubaLM-0.4B,prompt_1,48.6,46.4,51.6,47.2,50.0,48.8
InkubaLM-0.4B,prompt_2,48.0,45.4,52.0,45.2,49.8,48.1
InkubaLM-0.4B,prompt_3,36.8,36.4,35.0,43.4,41.0,39.0
InkubaLM-0.4B,prompt_4,36.6,39.4,38.0,40.6,41.6,39.9
InkubaLM-0.4B,prompt_5,49.8,50.0,50.0,50.0,50.0,50.0
LLaMAX3-8B,prompt_1,50.4,50.0,50.4,51.4,50.6,50.6
LLaMAX3-8B,prompt_2,55.2,53.0,53.6,63.2,50.2,55.0
LLaMAX3-8B,prompt_3,57.4,61.8,57.0,68.2,49.8,59.2
LLaMAX3-8B,prompt_4,50.0,50.0,50.0,50.0,50.0,50.0
LLaMAX3-8B,prompt_5,50.0,50.0,50.0,50.0,50.0,50.0
Llama-2-7b-chat-hf,prompt_1,50.2,49.8,50.0,49.8,50.6,50.1
Llama-2-7b-chat-hf,prompt_2,50.0,50.2,50.2,49.8,50.4,50.2
Llama-2-7b-chat-hf,prompt_3,52.4,35.4,47.6,52.2,37.0,43.1
Llama-2-7b-chat-hf,prompt_4,84.0,50.2,50.0,69.2,50.0,54.9
Llama-2-7b-chat-hf,prompt_5,81.4,50.2,50.2,67.0,50.0,54.4
Llama-3.1-8B-Instruct,prompt_1,50.0,50.0,49.8,50.0,49.8,49.9
Llama-3.1-8B-Instruct,prompt_2,50.0,50.0,49.8,50.0,49.8,49.9
Llama-3.1-8B-Instruct,prompt_3,75.8,54.4,51.6,69.2,49.6,56.2
Llama-3.1-8B-Instruct,prompt_4,89.0,64.8,62.8,86.4,45.8,65.0
Llama-3.1-8B-Instruct,prompt_5,52.2,50.4,49.8,50.0,50.0,50.1
Meta-Llama-3-70B-Instruct,prompt_1,95.0,58.2,61.4,88.4,49.2,64.3
Meta-Llama-3-70B-Instruct,prompt_2,94.4,58.2,59.4,91.2,49.8,64.7
Meta-Llama-3-70B-Instruct,prompt_3,73.2,51.8,59.6,73.0,62.6,61.8
Meta-Llama-3-70B-Instruct,prompt_4,95.8,66.8,75.0,93.0,54.2,72.3
Meta-Llama-3-70B-Instruct,prompt_5,94.4,50.6,50.8,90.2,50.0,60.4
Meta-Llama-3-8B-Instruct,prompt_1,50.0,50.0,50.0,50.0,50.0,50.0
Meta-Llama-3-8B-Instruct,prompt_2,50.0,50.0,50.0,50.0,50.0,50.0
Meta-Llama-3-8B-Instruct,prompt_3,75.0,52.8,50.0,63.2,50.0,54.0
Meta-Llama-3-8B-Instruct,prompt_4,52.0,50.0,50.0,50.2,50.0,50.1
Meta-Llama-3-8B-Instruct,prompt_5,50.8,50.0,50.0,50.0,50.0,50.0
aya-101,prompt_1,95.2,87.6,84.8,94.0,72.0,84.6
aya-101,prompt_2,94.8,86.2,84.2,93.2,69.2,83.2
aya-101,prompt_3,94.2,87.6,84.4,92.4,76.6,85.3
aya-101,prompt_4,93.6,83.0,78.6,90.8,68.0,80.1
aya-101,prompt_5,95.2,90.6,88.4,92.4,81.6,88.3
gemma-1.1-7b-it,prompt_1,91.8,51.8,48.6,88.0,48.8,59.3
gemma-1.1-7b-it,prompt_2,92.0,50.6,49.6,85.0,48.6,58.5
gemma-1.1-7b-it,prompt_3,88.8,50.2,49.8,88.8,50.0,59.7
gemma-1.1-7b-it,prompt_4,93.6,52.0,50.4,89.2,49.4,60.3
gemma-1.1-7b-it,prompt_5,90.8,50.0,50.2,74.2,50.0,56.1
gemma-2-27b-it,prompt_1,94.0,82.4,82.4,93.0,63.6,80.4
