model,prompt,bbj,fon,ibo,wol,yor,avg_score
AfroLlama-V1,prompt_1,0.95,1.17,3.62,5.69,3.37,3.0
AfroLlama-V1,prompt_2,1.89,2.35,5.56,8.45,4.87,4.6
AfroLlama-V1,prompt_3,1.68,1.69,5.17,11.7,4,4.8
AfroLlama-V1,prompt_4,2.07,1.44,5.05,12.54,4.83,5.2
AfroLlama-V1,prompt_5,1.42,1.33,3.64,8.77,3.24,3.7
InkubaLM-0.4B,prompt_1,1.67,2.74,2.81,3.49,1.55,2.5
InkubaLM-0.4B,prompt_2,2.39,3.44,1.54,2.5,1.28,2.2
InkubaLM-0.4B,prompt_3,1.7,2.9,2.98,5.43,2.11,3.0
InkubaLM-0.4B,prompt_4,3.07,2.6,4.63,5.23,2.6,3.6
InkubaLM-0.4B,prompt_5,2.45,3.76,3.93,5.29,1.9,3.5
LLaMAX3-8B-Alpaca,prompt_1,41.59,37.92,57.24,73.51,21.32,46.3
LLaMAX3-8B-Alpaca,prompt_2,35.35,36.28,61.06,67.25,30.73,46.1
LLaMAX3-8B-Alpaca,prompt_3,41.01,37.55,55.37,72.39,20.78,45.4
LLaMAX3-8B-Alpaca,prompt_4,43.68,39.04,62.27,77.3,24.79,49.4
LLaMAX3-8B-Alpaca,prompt_5,37.51,36.05,61.86,73.5,34.49,48.7
Llama-2-7b-chat-hf,prompt_1,12.93,29.31,30.65,52.96,14.22,28.0
Llama-2-7b-chat-hf,prompt_2,19.71,34.58,30.65,52.26,14.59,30.4
Llama-2-7b-chat-hf,prompt_3,0.16,2.17,13.83,16.33,4.63,7.4
Llama-2-7b-chat-hf,prompt_4,9.83,18.15,22.69,27.79,13.12,18.3
Llama-2-7b-chat-hf,prompt_5,18.84,25.71,35.67,48.1,21.31,29.9
Llama-3.1-70B-Instruct,prompt_1,35.3,41.67,64.7,74.23,27.02,48.6
Llama-3.1-70B-Instruct,prompt_2,46.46,40.31,66.96,75.78,28.11,51.5
Llama-3.1-70B-Instruct,prompt_3,35.79,38.18,64.08,75.56,44.79,51.7
Llama-3.1-70B-Instruct,prompt_4,39.37,34.45,53.76,78.25,46.74,50.5
Llama-3.1-70B-Instruct,prompt_5,26.63,33.28,40.46,49.06,43.64,38.6
Llama-3.1-8B-Instruct,prompt_1,16.82,26.5,25,40.31,15.62,24.9
Llama-3.1-8B-Instruct,prompt_2,13.15,22.47,24,37.73,13.17,22.1
Llama-3.1-8B-Instruct,prompt_3,17.56,28.46,25.22,38.47,12.45,24.4
