model,prompt,eng,fra,amh,ara,hau,ibo,orm,pcm,som,swa,tir,yor,avg_score
AfroLlama-V1,prompt_3,,,47.22,52.1,51.76,52.13,50.33,50.29,51.8,52.42,48.84,51.29,50.8
LLaMAX3-8B-Alpaca,prompt_3,,,50.51,51.7,47.56,51.75,49.51,52.29,51.01,52.52,48.67,51.65,50.7
Llama-2-7b-chat-hf,prompt_3,,,39.98,51.62,43.02,51.33,47.8,48.09,49.51,50.12,47.56,39.97,46.9
Llama-3.1-70B-Instruct,prompt_1,63.75,65.26,64.25,64.2,66.17,67.19,74.51,64.17,66.78,65.38,65,70.39,66.8
Llama-3.1-70B-Instruct,prompt_2,64.3,60.89,51.3,57.56,57.41,55.05,51.63,58.75,55.22,58.24,50.72,55.04,55.1
Llama-3.1-70B-Instruct,prompt_3,64.72,65.96,64.78,64.83,67.22,67.91,73.8,64.73,67.2,66.4,67.81,71.71,67.6
Llama-3.1-8B-Instruct,prompt_3,,,42.79,49.36,48.82,43.64,47.44,46.83,33.21,47.75,41.66,35.93,43.7
Meta-Llama-3-8B-Instruct,prompt_1,63.49,64.83,57.76,63.4,65.81,66.54,66.98,63.38,66.02,64.72,62.02,70.04,64.7
Meta-Llama-3-8B-Instruct,prompt_2,64.15,62.4,51.08,58.53,59.37,56.68,55.93,59.18,57.83,61.05,50.84,56.67,56.7
Meta-Llama-3-8B-Instruct,prompt_3,63.91,65.52,62.02,63.99,66.13,66.59,73.78,62.3,66.52,65.17,64.91,70.13,66.2
aya-101,prompt_1,,,45.77,49.63,59.61,61.42,58.95,39.11,60.09,41.95,56.42,51.11,52.4
gemma-1.1-7b-it,prompt_3,,,49.89,51.84,48.3,54.21,47.61,49.43,46.47,50.04,39.91,53.33,49.1
gemma-2-27b-it,prompt_1,63.93,65.34,64.34,65.04,66.69,66.84,73.19,63.9,66.86,65.88,64.92,66.57,66.4
gemma-2-27b-it,prompt_2,63.99,60.58,52.01,57.3,58.16,54.98,51.48,58.68,56.19,58.17,51.23,54.88,55.3
gemma-2-27b-it,prompt_3,64.19,64.5,55.58,60.76,65.98,64.31,64.66,61.94,64.34,63.69,55.48,60.64,61.7
gemma-2-9b-it,prompt_1,63.75,65.41,63.77,64.64,66.31,66.43,72.49,64.53,66.62,65.56,65.65,65.27,66.1
gemma-2-9b-it,prompt_2,63.65,61.49,54.37,61.56,59.69,56.18,53.16,58.38,57.46,59.96,51.86,54.96,56.8
gemma-2-9b-it,prompt_3,64.1,65.64,59.4,63.96,66.74,64.58,63.56,64.9,64.19,65.84,54.47,64.49,63.2
gemini-1.5-pro-002,prompt_1,62.39,63.36,65.19,63.97,64.76,66.35,72.84,63.41,65.7,63.87,67.72,68.45,66.2
gemini-1.5-pro-002,prompt_2,62.48,59.02,51.77,56.54,56.25,54.5,51.31,57.54,54.58,56.94,51.46,54.43,54.5
gemini-1.5-pro-002,prompt_3,62.69,63.76,65.6,64.26,65.16,66.7,73.53,63.88,66.11,64.12,68.29,69.02,66.7
gpt-4o-2024-08-06,prompt_1,62.12,63.79,65.42,64.27,65.03,66.4,73.03,63.39,66.2,64.25,67.67,69.23,66.5
gpt-4o-2024-08-06,prompt_2,62.05,63.26,55.15,64.25,61.27,57.57,60.9,57.36,61.43,63.49,55.11,58.83,59.5
gpt-4o-2024-08-06,prompt_3,62.03,63.73,65.53,64.3,64.96,66.07,72.68,61.85,66.18,64.2,67.83,68.85,66.2
