model,prompt,eng,fra,amh,ewe,hau,ibo,kin,lin,lug,orm,sna,sot,swa,twi,vai,wol,xho,yor,zul,avg
AfroLlama-V1,prompt_1,0,0.8,0,0,1.2,0,0.4,0.4,0,0.4,0.4,0.8,0.4,0,0,0,0,0.8,0,0.3
AfroLlama-V1,prompt_2,0,0.4,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.0
AfroLlama-V1,prompt_3,0,0.8,0,0,0,0,0,0.4,0.8,0,0,0,0,0,0,0,0,0,0.4,0.1
AfroLlama-V1,prompt_4,0.4,0,0,0,0.4,0,0,0,0.4,0,0,0,0,0.4,0,0,0,0,0.4,0.1
AfroLlama-V1,prompt_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.4,0,0.0
InkubaLM-0.4B,prompt_1,12,4.8,3.6,2.4,6.8,2,1.6,0.8,2,1.6,1.2,1.6,8.4,2,0,1.6,4,3.6,7.2,3.0
InkubaLM-0.4B,prompt_2,9.6,2.8,0,0.4,6.4,1.2,0.8,1.6,0.8,1.6,2,2.4,8.4,0.8,0,1.2,9.2,6,6.4,2.9
InkubaLM-0.4B,prompt_3,12,5.2,1.2,1.6,8.4,1.6,2,0.8,0.8,1.6,2.4,1.2,10,1.6,0,1.6,7.6,4.4,9.2,3.3
InkubaLM-0.4B,prompt_4,6.8,4.4,0.4,2.4,4,1.2,2.4,2.4,1.6,3.2,2,2.4,8.4,1.2,0,1.2,3.2,6,5.2,2.8
InkubaLM-0.4B,prompt_5,7.2,3.2,1.2,2.8,7.2,1.2,2.4,1.6,2,1.6,2,1.6,4.8,2.4,0,2.4,4.4,4.4,4.8,2.8
aya-101,prompt_1,10.8,9.6,6.8,3.2,7.2,3.2,3.6,4.4,2.4,4.8,6.8,10.8,6,1.6,0.8,1.2,4.4,3.2,3.6,4.4
aya-101,prompt_2,11.6,10.4,7.6,2.8,4.4,2.8,5.2,4,2.4,3.2,6,7.2,8.4,1.6,1.6,0.8,4,4.4,3.6,4.1
aya-101,prompt_3,10.0,9.2,7.2,3.6,7.2,3.2,6.4,5.2,1.6,3.2,4.8,8.0,6.8,1.6,0.8,0.8,4.0,3.6,3.6,4.2
aya-101,prompt_4,10.4,8.4,8.0,2.8,5.2,2.8,5.2,3.6,5.2,5.6,6.0,8.0,5.6,1.6,2.0,0.4,4.4,3.2,4.8,4.4
aya-101,prompt_5,10.0,8.4,6.0,3.2,6.4,3.6,5.6,3.6,2.8,3.2,6.4,6.0,6.8,2.8,2.0,2.4,4.0,3.6,4.8,4.3
gemma-1.1-7b-it,prompt_1,20.8,18.0,4.0,2.4,5.6,2.4,4.8,4.0,3.6,2.0,4.4,3.6,20.8,3.2,3.6,2.4,2.0,5.2,4.6,4.6
gemma-1.1-7b-it,prompt_2,,,,,,,,,,,,,,,,,,,,
gemma-1.1-7b-it,prompt_3,,,,,,,,,,,,,,,,,,,,
gemma-1.1-7b-it,prompt_4,,,,,,,,,,,,,,,,,,,,
gemma-1.1-7b-it,prompt_5,,,,,,,,,,,,,,,,,,,,
Llama-2-7b-chat-hf,prompt_1,23.2,16.8,2.4,3.2,2.4,2.0,1.6,0.8,1.6,1.2,1.2,2.0,2.0,2.4,0.8,2.0,1.2,2.0,1.6,1.8
Llama-2-7b-chat-hf,prompt_2,21.2,16.0,1.2,3.2,1.2,0.8,2.4,2.0,2.0,0.8,1.2,2.0,1.2,1.2,2.0,2.4,2.0,2.8,1.6,1.8
